stable_ID	wt_1	wt_2	mut_1	mut_2
21ur-1	5.81347	4.777977	5.392325	7.7243432
21ur-10	1.1915785	1.28798	1.00064	2.6058044
21ur-1627	0	0.0415476	14.620464	20.5672512
21ur-1000	4.0441545	6.5229706	4.058142	14.0992612
21ur-10002	0.1444345	0.3323808	0.222364	0.0465322
21ur-10003	0.6138446	0.4154766	1.278593	0.5118542
21ur-10004	0.2527595	0.2077382	0.444728	0.2791932
21ur-10009	0.288868	0.207738	0.611501	0.4187894
21ur-1001	13.649017	16.3698	20.401882	13.5408644
21ur-10010	0.613845	0.6647616	0.667092	0.186129
21ur-10011	0.0361085	0.0415476	0.111182	0.0930644
21ur-10012	9.7493005	6.6476172	19.512458	8.8876484
21ur-10013	0	0.0830952	0.055591	0.0930644
21ur-10014	0.1805425	0.2077376	0.500319	0.41879
21ur-10015	1.48045	1.49571	1.38978	1.9078192
21ur-10016	3.1053385	1.6619032	5.225551	5.0720166
21ur-10017	0.6499535	0.6647616	0.333546	0.7445146
21ur-10018	0.0361085	0.0415476	0	0
21ur-10019	0.0722171	0	0.111182	0
21ur-1002	2.7803585	3.9885728	2.33482	3.0245922
21ur-10020	0.1805425	0.6647618	0.611501	2.2800746
21ur-10021	0.4694111	0.290833	0.389137	0.744515
21ur-10022	0.9027136	0.830952	0.889456	1.1167734
21ur-10023	0.25276	0.124643	0.055591	0.186129
21ur-10024	0.1083256	0.0415476	0	0
21ur-10025	0.7943871	0.540119	1.556548	0.5118542
21ur-10026	0.938822	1.57881	2.723962	1.48903
21ur-10027	0.7943878	0.5401188	0.945047	0.372258
21ur-10029	5.6329285	3.90547	10.673474	6.74717
21ur-1003	0.433302	0.4570232	0.611501	0.6979826
21ur-10030	0.108326	0.16619	0.500319	2.5127344
21ur-10032	0.4694107	0.9140468	1.334184	0.8375796
21ur-10033	1.9859725	2.1189272	2.279229	1.535563
21ur-10034	0.6499536	0.789405	0.722683	0.0930644
21ur-10035	0.324977	0.373928	0.333546	0.7445152
21ur-10036	0.613845	0.457024	0.500319	0.2326612
21ur-10037	2.3831671	1.41262	0.722683	0.930644
21ur-10038	0	0.124643	0.111182	0.325725
21ur-10039	1.5165582	0.7478574	1.223002	0.4653216
21ur-1004	0.1444341	0.0415476	0.055591	0.1395966
21ur-10040	0.072217	0.0415476	0.055591	0.0930644
21ur-10042	0.2166516	0.3739286	0.222364	0
21ur-10043	1.5165585	0.9140472	1.945685	0.2791934
21ur-10044	0.1083255	0.2077382	0.055591	0.1395966
21ur-10045	0.541628	0.457024	0.611501	0.5118546
21ur-10046	0.2527601	0.1661904	0.277955	0.279193
21ur-10047	1.552667	2.2435728	0.889456	1.8612884
21ur-10048	0.2888685	0.2908336	0.333546	0.0930644
21ur-10049	0.397194	0.6232146	0.778274	0.8375802
21ur-1005	62.7926932	40.0519182	118.575416	63.4233692
21ur-10052	0.108326	0.124643	0.55591	0.279193
21ur-10053	0.0361085	0.0415476	0.111182	0
21ur-10054	0.144434	0.0830952	0.166773	0.3257252
21ur-10055	0.0722171	0.0415476	0	0
21ur-10056	0.4333021	0.0830952	0	0
21ur-10057	0.9027137	0.9971416	1.000638	0.9771762
21ur-10058	0	0	0.055591	0.372258
21ur-10059	0	0.16619	0	0.0465322
21ur-1006	8.12442	9.6805852	3.61342	5.4908022
21ur-10061	1.08326	1.24643	1.723321	0.558386
21ur-10062	0.1444341	0.2908336	0.055591	0.7910474
21ur-10063	0.433302	0.7894042	0.55591	2.18701
